"7","Palo Verde","","+50766163733","ereal@gpvpanama.com","","","","Panama","","","Panama"
"12","Mint Group","","+5072023181","amercado@mintgrouppanama.com","","","","Panama","","","Panama"
"18","e Business Distribution SA","","","ernestolyons@gmail.com","","","","","","",""
"22","e Business Distribution SA","","","ernestolyons@gmail.com","","","","","","",""
"30","Toscana Azuero SA","","","dacky.liakopulos@sheratonpanama.com.pa","","","","","","",""
"58","e Business Distribution SA","","+507","ernestolyons@gmail.com","","","","","","",""
"63","Humbert","","+507","","","","","","","",""
"67","66","","+507","","","","","","","",""
"76","Señor Juan","","+507","lalindevaleria@gmail.com","","","","","Panama","","Panama"
"83","Camarones","","+507","","","","","","","",""
"89","e Business Distribution","","+5073034500","ernestolyons@gmail.com","","","","Panama","Not Applicable","0000","Panama"
"93","Mar Azul","","","","","","","","","",""
"96","Ingeniería RM (IRM)","www.ingenieriarm.com","270-0922","cristeldelossantos@ingenieriarm.com","","","270-0423","","","",""
"102","Moist Accesorios","","","","","","","","","",""
"106","Mobil Tech","","392-0326","rjd-41428@hotmail.com","","","","","","",""
"110","Todo Foto","www.todofotopanama.com","225-9253","","","225-4620","","","","",""
"111","Todo Foto Panamá","","225-9253","","","","","","","",""
"118","Pradera Inmobiliaria","www.praderapanama.com/","270-3304","ventas@praderapanama.com","","","","","","",""
"122","Constructora MP","","395-3253","raul@construcciones.com.pa","","","","","","",""
"127","Grupo Suárez","","","","","","","","","",""
"128","Señor Juan","www.domiciliosrjuan.com/","390-5050","info@domiciliosrjuan.com","","","390-5151","","","",""
"136","Mar Azul","marazul.com.pa","391-7200","marazul1@marazul.com.pa","","","","","Panamá","","Panamá"
"151","WS Investment Group Panama","","203-1426","jak2006@wsinvestmentgroup.com","","","","","","",""
"153","Mar Azul (The Ritz Carlton)","www.marazulpanama.com","","","","","","","","",""
"155","Constructora Abadi","","","","","","","","","",""
"172","Empresa Nacional de Autopista (ENA)","www.enacorredores.com","226-7693","iescobar@enacorredores.com","","","","","","",""
"177","ConConcreto Internacional","www.conconcreto.com","265-8680","","","","265-8690","","","",""
"182","Novotel Panama City","","306-8600","","","","306-8601","","","",""
"188","PH Isla Mar","","269-4718","islamarpanama@yahoo.com","","","","","","",""
"191","IBT Group","","282-9299","genaro.matias@ibtgroup.com","","","","","","","panamá"
"194","Escuela Montessori Panama","","226-2116","administracion@montessoripanama.com","","","","","","",""
"202","PH Park Loft","","+507","","","","","","","",""
"208","Magic Fiesta","","","","","","","","","",""
"215","Residencia Ricardo Pavas","","","","","","","","","",""
"221","Residencia Rossana Ameglio de Alfaro","","","","","","","","","",""
"242","Computer & Cell Solution","","393-4784","","","","393-4787","","","",""
"246","Del Monte Panamá","","","","","","","","","",""
"247","Castillo Hermanos (Del Monte, Bonlac & La Italiana)","www.delmonte.com","395-8500","","","278-8031","261-0664","","","",""
"251","Alstom Panamá","","377-4416","ronaldo.ortega@transport.alstom.com","","","","","","",""
"254","Residencia Diana de Alemán","","","","","","","","","",""
"259","Cable & Wireless Panamá","www.cwpanama.com","223-1706| 223-7052","","","","264-2048","","","",""
"288","Ben Betesh","www.benbetesh.com","223-8895","info@benbetesh.com","","","","","","","Panamá"
"294","Federal Express (FedEx)","","238-1201","aury.ruiz@fedex.com","","","","","","",""
"308","Residencia Frederik Medrano","","306-3300","fmedrano@hospitalnacional.com","","","","","","",""
"309","Aydesa","","206-5984","info@aydesa.com","","","","","Panamá","","Panamá"
"330","Gudico","www.gudico.com","395-1200","sacgudico@gudico.com","","","263-7028","","","",""
"335","Ministerio de Gobierno - MINGOB","www.mingob.gob.pa","512-7600","","","","","","","",""
"354","SIMAGSA","www.mitradel.gob.pa","504-1500","","","504-1501","","Panamá","Panamá","","Panamá"
"373","Grupo Residencial","","264-5111","anasosa@gruporesidencial.com","","","","","","",""
"386","Alstom Panamá","","377-4416","david.concepcion@alstom.com","","","","","","",""
"402","AUDITEL CentroAmérica, S.A.","www.auditel.es","214-3859","oftec1.panama@auditel.es","","","","","","","Panamá"
"425","Megamall","","","","","","","","","",""
"427","Cable & Wireless","","305-8300  ext  28000","mzelada@banisipanama.com","","","","","","",""
"431","Lacoste","www.lacoste.com","+51 1 561-2323","mcortez@lacoste.com","","","+51 1 561-2323","","","","Perú"
"432","Autoridad de Turismo de Panamá (ATP)","www.atp.gob.pa","526-7000","flambiz@atp.gob.pa","","","","","","",""
"437","Pan-American Life Insurance de Panamá, S.A.","www.palig.com","208-8000","","","","208-2001","","","","Panamá"
"446","Colegio de Las Esclavas del Sagrado Corazón de Jesús","www.colegiolasesclavas.edu.pa","317-0048 | 0051","colescj@cwpanama.net","","","317-0051","","","",""
"452","Bern Hotels & Resorts Panamá","www.bernhotelspanama.com","206-8800","kmcneil@bernhotelspanama.com","","","","","","",""
"454","AutoStar Panamá","www.autostar.com.pa","303-1131","info@autostar.com.pa","","","","","","","Panamá"
"456","Digicel","www.digicelpanama.com","306-0688","","","","300-0469","","","",""
"459","Administración Megamall","","830-0725","","","6429-9550","","","","",""
"461","Claro Panamá","www.claro.com.pa","200-0100","","","","263-3403","","","",""
"463","Backstage Dance Studio","","394-2667","","","","","","","",""
"471","Ripard Holding Corp.","www.ripardholding.com","306-3000","info@ripardholding.com","","","306-3001","","","",""
"475","Farmacia Faith","","395-1992","","","","","","","",""
"476","FarmacIa Faith","","395-1992","elisa23liao@gmail.com","","","","","","",""
"486","Laboratorios Farmacéuticos (LAFSA)","www.lafsa.com.pa","224-6029","lafsa@lafsa.com.pa","","","224-6685","","","",""
"489","Oxford International School","www.ois.edu.pa","265-6422","oxford@ois.edu.pa","","","265-7446","","","",""
"492","Constructora Rigaservices","www.gruporiga.com","239-4677","sdegerencia@gruporiga.net","","239-4678","239-4679","","","",""
"493","Grupo Riga","","239-4677","pgriga@cwpanana.net","","","","","","",""
"499","Metro Holdings (MetroBank y Govimar)","www.metrobanksa.com","204-9000","casamatriz@MetroBanksa.com","","","204-9001","","","",""
"502","Grupo Los Pueblos","www.glp.com.pa","207-8888","mock@glp.com.pa","","","","","","",""
"613","Mueblería El Hogar","","395-4658","","","","","","","",""
"616","Ministerio de Educación","www.meduca.gob.pa","511-4400","","","","","","","",""
"626","Ministerio de Desarrollo Social - MIDES","www.mides.gob.pa","500-6000","","","","","","","",""
"649","Colliers International","www.colliers.com/Panama","214-7777","","","","","","","",""
"657","Alemán, Cordero, Galindo & Lee (ALCOGAL)","www.alcogal.com","269-2620","","","","264-3111","","","",""
"683","Ministerio de Seguridad Pública","www.minseg.gob.pa","516-2850","prensa@minseg.gob.pa","","316-2816 / 2817","","","","",""
"693","Kam Seguros","www.kampasa.com","282-6100","","","282-9912","300-2305","","","",""
"695","Hotel Ramada Plaza Panamá","","322-0000","","","","","","","",""
"703","Hotel Wyndham Garden Panamá","","212-5700","","","","","","","",""
"708","PROYECTA","www.proyecta.com.pa","391-2838","info@proyecta.com.pa","","","392-4109","","","",""
"721","TR Construya SLU","www.trconstruya.com","265-5578","","","","265-5579","","","",""
"750","Contraloría General de la República","www.contraloria.gob.pa","510-4777","info2@contraloria.gob.pa","","","","","","",""
"779","Regency Brands","www.sporthowamericas.com","397-4000","","","","","","","",""
"793","Rodeiba","www.rodeiba.com","261-8742","info@rodeiba.com","","261-5231","","","","",""
"794","Telsat Inc.","www,telsatinc.com","399-7589","","","","390-3998","","","",""
"795","NICHEL Computer","","","","","","","","","",""
"811","Medical Depot","www.medicaldepotpanama.com","213-8656","ventas@medicaldepotpanama.com","","223-4264","265-2826","","","",""
"812","Condotte","www.condotte.com","396-5051","","","","391-9915","","","",""
"819","CCM Panamá","www.ccm.com.pa","293-5000","info@ccm.com.pa","","","","","","",""
"829","JW Marriott (antiguo Hotel Trump)","www.trumpoceanclub.com","215-8870","","","","215-8801","","","",""
"831","Holiday Inn Express","www.hiexpress.com","305-8800","","","","305-8801","","","",""
"839","Proyeco","www.proyeco.es","203-2989","proyecopanama@proyeco.es","","","203-2988","","","",""
"867","Monitec","","227- 7663","info@monitecpanama.com","","","227- 6849","","","",""
"888","Airco","www.aircopanama.com","271-5337","","","","271-5214","","","",""
"896","Residencia Mulino","","","jrmulino@gmail.com","","","","","","",""
"903","Mundo de los Juegos","","","","","","","","","",""
"909","La Nueva Estrella","","396-3699","","","","","","","",""
"922","Mueblería El Hogar","","253-3282","","","253-2840","","","","",""
"932","Sanofi","www.sanofi.com.pa","304-1800","","","","","","","",""
"937","De Pelitos By Imagen Salón","","6909-0123","","","","","","","",""
"948","Farmacia Lafsa","","224-6029","lafsa@lafsa.com.pa","","","","","","",""
"953","Tigo Business (antes Cable Onda)","www.cableonda.com","390-7555","","","","390-7608","","","",""
"954","Telecom Internacional","www.telecom-pty.com","270-0555","ventas@telecom-pty.com","","","226-4503","","","",""
"962","L'Oréal Centroamérica, S.A.","","303-1282","","","","","","","",""
"971","Panama Computer (PCTER)","","","","","","","","","",""
"986","Ministerio de Vivienda y Ordenamiento Territorial - MIVIOT","www.miviot.gob.pa","579-9351","info@miviot.gob.pa","","579-9400","579-9486","","","",""
"989","José Yang","","","","","","","","","",""
"1010","L'Oréal Centroamérica","www.loreal.com.pa","302-2828","","","303-1200","302-2889","","","",""
"1011","Calox Panameña","","360-3600","","","","","","","",""
"1013","Akron International","","203-7030","","","229-1147","","","","",""
"1033","Panama Car Rental (Dollar & Automarket)","www.dollarpanama.com","279-2700","","","","236-8352","","","",""
"1035","King's College Panama","www.kingsgroup.org","282-3300","info@kingsgroup.org","","","","","","",""
"1038","Davivienda","www.davivienda.com","366-6500","","","","263-6115","","","",""
"1090","A.I.R. Avaluos","www.airpma.net","399-6900","avaluos@airpma.net","","","399-6949","","","",""
"1092","Slabón Café Bistró","","397-1852","","","397-1853","","","","",""
"1096","Sixt Rent-a-Car","","","lucasaleman@cwpanama.net","","","","","","","Panamá"
"1109","Deli Gourmet","","380-2000","nimarnm@cwpanama.net","","","222-0445","","","",""
"1122","Grupo Palo Verde","","","","","","","","","",""
"1132","Tropigas","www.tropigas.com.pa","800-0427","contacto@tropigas.com.pa","","206-0088","","","","",""
"1144","Todo a Dollar","grupotodoadollar.com","271-8100","","","209-0773","","","","",""
"1160","Corporación Torre Vieja, S.A.","","","","","","","","","",""
"1162","Pacific Brewery","","279-5800","","","","279-5861","","","",""
"1205","Megamall - Promotores del Este, S.A.","","390-8000","","","","","","","",""
"1209","Vale Panamá","www.valepanama.com","294-3100","info@valepanama.com","","","","","","",""
"1214","Inquivepa, Inc.","","290-2326","inquivepa@hotmail.com","","","","","","",""
"1220","Mueblería Famosa","","224-7171","","","","","","","",""
"1236","Policlínica Alejandro de la Guardia","www.css.gob.pa","503-1200","","","","","","","",""
"1254","Joyería Popular","","6279-9473","","","","","","","",""
"1257","Viajes El Corte Inglés","www. elcorteingles.es","376 0400","","","","","","","",""
"1375","J Cain & Co","","431-0777","lcmotta@cainco.com","","","","","","",""
"1460","Abernathy Panamá","www.abernathy.com.pa","260-1222","info@abernathy.com.pa","","","236-0140","","","",""
"1464","D.R. Asesores de Seguros (DRASSA)","www.drassa.net","236-5990","info@drassa.net","","6617-3096","","","","",""
"1474","Vale Joyeros","","","","","6411-0538","","","","",""
"1500","Plásticos Generales | PG","","233-2238","","","","","","","",""
"1551","ASSA Compañía de Seguros","","301-2318","","","","","","","",""
"1564","DRASSA","","236-5990","info@drassa.net","","","","","","",""
"1637","Grupo A.I.R. (AIR Avalúos y Ajuste)","www.airpma.net","399-6900","y.guandique@airpma.net","","","399-6949","","","0816-04143",""
"1683","Netcom","www.netcom.com.pa","340-5300","ventas@netcom.com.pa","","","340-5349","","","",""
"1689","Compañía Internacional de Seguros","www.isweb.iseguros.com/iseguros/","206-4000","","","","210-1900","","Chiriquí","","Panamá"
"1804","MCM Global","www.mcmglobalsa.com","209-1919","","","","395-2442","","","",""
"1819","Immobiliare","www.immobiliare.com.pa","209-2499","info@immobiliare.com.pa","","","209-2498","","","",""
"1849","P.H. Pacific Wind","","391-5256","","","","","","","",""
"1855","Arias Law","www.ariaslaw.com","282-1400","contact.panama@ariaslaw.com","","","282-1435","","","",""
"1863","Autoridad Marítima de Panamá","www.amp.gob.pa","501-5100","ampadmon@amp.gob.pa","","","501-5405","","","",""
"1869","Fashion Collection","","","arq.desing56@gmail.com","","","","","","",""
"1896","Promotora Haus (Sema Investment)","www.hauspanama.com","261-7100","","","","","","","",""
"1926","Kiener","www.pkiener.com","261-9555","","","","261-8511","","","",""
